discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon,v1,v2,v3,v4,v5
0,14,0,0,0,0,0.024,1,0,1,11,1205,25,1,2012,2012,0,0,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0.44,14.0,1205.0,80.33333333333333,0.0
0,17,0,0,0,0,0.017,1,0,1,139,2626,148,1,2012,2012,0,0,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0.9391891891891891,17.0,2626.0,145.88888888888889,0.0
0,4,0,0,0,0,0.03,1,0,1,6,732,9,1,2012,2012,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6666666666666666,4.0,732.0,146.4,0.0
0,11,0,0,1,0,0.023,1,0,1,18,1015,21,1,2012,2012,0,0,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0.8571428571428571,11.0,1015.0,84.58333333333333,0.0
0,123,0,2,1,0,5.495,4,1,2,16,6063,413,1,2012,2016,3,2,1,1,117,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0387409200968523,123.0,6063.0,48.895161290322584,0.6666666666666666
0,168,0,1,0,0,7.065,7,1,5,18,6490,399,1,2012,2013,0,1,1,1,85,0,0,0,0,0,0,0,0,1,0,1,0,0,0.045112781954887216,168.0,6490.0,38.40236686390533,0.5
0,0,0,0,1,0,8.996,2,1,2,12,161,8,1,2017,2017,0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0,1.5,0.0,161.0,161.0,0.0
0,0,0,0,0,0,9.006,2,1,2,1,60,3,1,2017,2017,0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0,0.3333333333333333,0.0,60.0,60.0,0.0
0,0,0,0,0,0,8.491,2,1,2,1,72,3,1,2017,2017,0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0,0.3333333333333333,0.0,72.0,72.0,0.0
0,0,0,0,0,0,8.755,3,1,2,1,77,2,1,2017,2017,0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5,0.0,77.0,77.0,0.0
0,0,0,0,0,0,4.592,3,1,2,1,87,2,1,2017,2017,0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5,0.0,87.0,87.0,0.0
2,4,0,0,1,2,5.558,1,1,6,5,2053,43,1,2017,2017,0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0,0.11627906976744186,1.3333333333333333,684.3333333333334,410.6,0.0
1,9,1,3,2,0,0.256,1,0,4,12,4481,172,1,2017,2017,0,4,9,0,170,1,1,1,1,1,1,1,1,1,0,0,0,0,0.06976744186046512,4.5,2240.5,448.1,0.6
0,13,0,4,0,0,6.946,1,1,3,15,3408,149,1,2017,2017,0,4,1,1,179,0,0,0,0,0,0,0,1,0,0,1,0,0,0.10067114093959731,13.0,3408.0,243.42857142857142,0.8
0,20,0,0,0,0,0.412,1,0,1,17,2012,57,1,2012,2012,0,0,9,1,76,1,1,1,1,1,1,1,1,1,0,1,0,0,0.2982456140350877,20.0,2012.0,95.80952380952381,0.0
1,20,1,6,1,0,0.191,2,0,4,52,8258,375,1,2017,2017,0,7,9,0,170,1,1,1,1,1,1,1,1,1,0,0,0,0,0.13866666666666666,10.0,4129.0,393.23809523809524,0.75
0,3,0,0,0,0,4.975,2,1,3,21,1006,40,1,2017,2017,0,0,9,1,65,1,1,1,1,1,1,1,1,1,0,1,0,0,0.525,3.0,1006.0,251.5,0.0
2,2,0,0,0,0,4.942,2,1,3,7,946,29,1,2017,2017,0,0,9,1,65,1,1,1,1,1,1,1,1,1,0,1,0,0,0.2413793103448276,0.6666666666666666,315.3333333333333,315.3333333333333,0.0
0,19,1,2,1,0,0.055,10,0,1,52,7162,401,1,2017,2019,1,3,8,2,96,1,1,1,1,1,1,1,0,1,0,1,1,0,0.12967581047381546,19.0,7162.0,358.1,0.5
6,55,0,5,0,0,5.178,2,1,2,113,14877,611,1,2017,2017,0,5,1,1,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0.18494271685761046,7.857142857142857,2125.285714285714,265.6607142857143,0.8333333333333334
0,83,1,4,0,0,5.431,31,1,1,18,3700,298,1,2011,2016,4,5,1,1,195,0,0,0,1,0,0,0,0,0,1,0,0,0,0.06040268456375839,83.0,3700.0,44.04761904761905,0.6666666666666666
9,257,0,3,1,0,3.295,3,1,1,161,17455,1110,1,2012,2014,2,3,1,1,95,0,0,0,0,0,0,0,0,1,0,1,0,0,0.14504504504504503,25.7,1745.5,67.65503875968992,0.75
0,296,0,5,0,0,5.424,7,1,1,76,10994,895,1,2012,2013,0,5,1,1,209,0,0,1,0,0,0,0,0,0,0,1,0,0,0.08491620111731843,296.0,10994.0,37.01683501683502,0.8333333333333334
0,0,0,0,0,0,9.071,1,1,9,1,130,5,1,2017,2017,0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0,0.2,0.0,130.0,130.0,0.0
0,0,0,0,0,0,9.14,1,1,9,2,134,5,1,2017,2017,0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0,0.4,0.0,134.0,134.0,0.0
0,0,0,0,0,0,9.213,1,1,9,4,195,7,1,2017,2017,0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0,0.5714285714285714,0.0,195.0,195.0,0.0
1,7,1,1,0,0,1.691,1,0,2,12,4985,101,1,2017,2017,0,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1188118811881188,3.5,2492.5,623.125,0.3333333333333333
2,16,0,6,1,0,5.55,2,1,5,135,10260,747,1,2017,2017,0,6,1,1,430,1,0,0,0,0,0,0,0,0,0,1,0,0,0.18072289156626506,5.333333333333333,3420.0,603.5294117647059,0.8571428571428571
0,20,0,3,0,0,5.734,4,1,3,32,6036,339,1,2017,2017,0,3,9,2,426,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0943952802359882,20.0,6036.0,287.42857142857144,0.75
7,43,0,6,2,0,9.727,7,1,7,43,9308,479,1,2017,2018,0,6,8,2,89,1,1,1,1,1,1,1,0,1,1,1,0,0,0.08977035490605428,5.375,1163.5,211.54545454545453,0.8571428571428571
1,509,0,5,0,0,3.651,6,1,1,32,23955,898,1,2012,2013,0,5,1,1,95,0,0,0,0,1,0,0,0,0,0,1,0,0,0.035634743875278395,254.5,11977.5,46.970588235294116,0.8333333333333334
2,18,0,11,0,0,1.275,1,0,2,38,5583,313,1,2017,2017,0,11,9,1,118,1,1,1,1,1,1,1,1,1,0,0,0,1,0.12140575079872204,6.0,1861.0,293.8421052631579,0.9166666666666666
11,108,0,3,4,0,6.18,5,1,3,176,15403,1038,1,2017,2017,0,3,1,2,426,0,0,1,0,0,0,0,0,0,1,1,0,0,0.16955684007707128,9.0,1283.5833333333333,141.3119266055046,0.75
7,31,1,6,1,0,5.697,3,1,4,51,6719,345,1,2017,2017,0,7,1,1,76,0,0,1,0,0,0,0,0,0,0,1,0,0,0.14782608695652175,3.875,839.875,209.96875,0.75
0,22,0,6,0,0,5.749,1,0,2,23,4585,173,1,2017,2017,0,6,9,0,74,1,1,1,1,1,1,1,1,1,0,0,0,0,0.1329479768786127,22.0,4585.0,199.34782608695653,0.8571428571428571
1,10,0,4,0,0,9.788,3,1,3,49,5438,244,1,2017,2017,0,4,9,1,426,1,1,1,1,1,1,1,1,1,1,0,0,0,0.20081967213114754,5.0,2719.0,494.3636363636364,0.8
1,18,0,16,1,0,0.714,1,0,1,19,4094,160,1,2017,2017,0,16,9,0,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0.11875,9.0,2047.0,215.47368421052633,0.9411764705882353
0,15,0,6,0,0,10.491,1,0,3,60,6149,321,1,2017,2017,0,6,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0.18691588785046728,15.0,6149.0,384.3125,0.8571428571428571
0,21,0,6,0,0,11.942,1,0,2,24,5064,270,1,2017,2017,0,6,9,0,74,1,1,1,1,1,1,1,1,1,0,0,0,0,0.08888888888888889,21.0,5064.0,230.1818181818182,0.8571428571428571
0,7,0,2,0,0,1.819,1,0,1,38,4338,170,1,2017,2017,0,2,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2235294117647059,7.0,4338.0,542.25,0.6666666666666666
14,96,0,12,2,0,5.981,1,0,3,113,26437,983,1,2017,2017,0,12,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0.11495422177009156,6.4,1762.4666666666667,272.54639175257734,0.9230769230769231
0,18,0,10,0,0,9.369,1,0,3,34,2850,134,1,2017,2017,0,10,9,0,172,1,1,1,1,1,1,1,1,1,0,0,0,0,0.2537313432835821,18.0,2850.0,150.0,0.9090909090909091
1,18,0,3,0,2,1.6800000000000002,1,0,1,20,3531,135,1,2017,2017,0,3,9,0,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0.14814814814814814,9.0,1765.5,185.8421052631579,0.75
0,23,0,11,0,0,2.677,1,0,2,80,4647,196,1,2017,2017,0,11,9,0,39,1,1,1,1,1,1,1,1,1,0,0,0,0,0.40816326530612246,23.0,4647.0,193.625,0.9166666666666666
2,21,0,10,0,0,0.781,1,0,1,44,5779,363,1,2017,2017,0,10,9,0,80,1,1,1,1,1,1,1,1,1,0,0,0,0,0.12121212121212122,7.0,1926.3333333333333,262.6818181818182,0.9090909090909091
0,4,0,0,0,0,0.027,1,0,1,16,1402,26,1,2013,2013,0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6153846153846154,4.0,1402.0,280.4,0.0
0,5,0,0,0,0,0.027,1,0,1,32,2075,51,1,2013,2013,0,0,1,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6274509803921569,5.0,2075.0,345.8333333333333,0.0
0,10,0,0,0,0,0.032,1,0,1,45,2222,68,1,2013,2013,0,0,1,1,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6617647058823529,10.0,2222.0,202.0,0.0
0,24,0,0,0,0,0.029,1,0,1,70,2649,88,1,2013,2013,0,0,1,1,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7954545454545454,24.0,2649.0,105.96,0.0
0,13,0,0,0,0,0.023,1,0,1,34,1964,44,1,2013,2013,0,0,1,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7727272727272727,13.0,1964.0,140.28571428571428,0.0
0,8,0,0,0,0,0.037,1,0,1,14,1644,37,1,2013,2013,0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3783783783783784,8.0,1644.0,182.66666666666666,0.0
0,15,0,0,0,0,0.026,1,0,1,105,3235,108,1,2013,2013,0,0,9,1,11,1,1,1,1,1,1,1,1,1,1,0,0,0,0.9722222222222222,15.0,3235.0,202.1875,0.0
0,5,0,0,0,0,0.021,1,0,1,19,1357,43,1,2013,2013,0,0,1,1,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4418604651162791,5.0,1357.0,226.16666666666666,0.0
0,7,0,0,0,0,0.031,1,0,1,20,1120,27,1,2013,2013,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7407407407407407,7.0,1120.0,140.0,0.0
0,5,0,0,0,0,0.02,1,0,1,41,1881,44,1,2013,2013,0,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9318181818181818,5.0,1881.0,313.5,0.0
0,7,0,0,0,0,0.021,1,0,1,23,1415,35,1,2013,2013,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6571428571428571,7.0,1415.0,176.875,0.0
0,27,0,9,0,0,5.409,2,0,1,78,6505,408,1,2017,2017,0,9,9,0,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0.19117647058823528,27.0,6505.0,232.32142857142858,0.9
1,23,0,15,0,0,7.543,1,0,2,39,4838,262,1,2017,2017,0,15,9,0,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0.14885496183206107,11.5,2419.0,201.58333333333334,0.9375
0,15,0,10,0,0,2.202,1,0,2,30,2989,99,1,2017,2017,0,10,9,0,39,1,1,1,1,1,1,1,1,1,0,0,0,0,0.30303030303030304,15.0,2989.0,186.8125,0.9090909090909091
1,520,0,6,0,0,3.926,10,1,2,39,20322,906,1,2013,2013,0,6,1,1,111,0,0,0,0,0,1,0,0,0,0,1,0,0,0.04304635761589404,260.0,10161.0,39.005758157389636,0.8571428571428571
1,73,1,5,0,0,5.349,1,0,2,125,15013,1006,1,2017,2020,2,6,9,0,21,1,1,1,1,1,1,1,1,1,0,0,0,0,0.1242544731610338,36.5,7506.5,202.8783783783784,0.7142857142857143
0,1264,0,6,0,1,6.941,5,1,1,102,45069,2246,1,2013,2013,0,6,1,1,114,1,0,0,0,0,0,0,0,0,0,1,0,0,0.04541406945681211,1264.0,45069.0,35.62766798418972,0.8571428571428571
1,10,0,5,0,0,5.605,5,1,4,47,4862,245,1,2017,2017,0,5,1,1,89,0,0,0,0,1,0,0,0,0,1,0,0,0,0.19183673469387755,5.0,2431.0,442.0,0.8333333333333334
0,1,0,7,0,0,0.892,3,0,1,119,5481,246,1,2017,2018,1,7,9,0,13,1,1,1,1,1,1,1,1,1,0,0,0,0,0.483739837398374,1.0,5481.0,2740.5,0.875
6,56,0,4,2,0,2.294,1,0,1,132,13268,804,1,2017,2017,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16417910447761194,8.0,1895.4285714285713,232.7719298245614,0.8
4,15,0,0,0,0,6.469,2,1,5,26,10226,215,1,2017,2017,0,0,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0,0.12093023255813953,3.0,2045.2,639.125,0.0
0,10,0,2,2,0,6.2620000000000005,1,0,1,32,3363,166,1,2017,2017,0,2,9,0,50,1,1,1,1,1,1,1,1,1,0,0,0,0,0.1927710843373494,10.0,3363.0,305.72727272727275,0.6666666666666666
1,17,0,0,1,0,0.08,1,0,3,53,2984,56,1,2013,2013,0,0,1,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9464285714285714,8.5,1492.0,165.77777777777777,0.0
0,5,0,0,0,0,0.109,1,0,3,16,1691,35,1,2013,2013,0,0,1,1,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0.45714285714285713,5.0,1691.0,281.8333333333333,0.0
0,10,0,0,2,0,0.123,1,0,3,33,2283,54,1,2013,2013,0,0,1,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6111111111111112,10.0,2283.0,207.54545454545453,0.0
0,321,1,5,0,0,6.758,8,1,1,32,18678,655,1,2013,2016,2,6,1,1,195,0,0,0,1,0,0,0,0,0,0,1,0,0,0.04885496183206107,321.0,18678.0,58.006211180124225,0.7142857142857143
0,7,0,2,1,0,6.308,1,0,1,25,3155,149,1,2017,2017,0,2,9,0,50,1,1,1,1,1,1,1,1,1,0,0,0,0,0.16778523489932887,7.0,3155.0,394.375,0.6666666666666666
2,11,0,4,0,0,7.323,3,1,2,39,7124,307,1,2017,2017,0,4,9,1,426,1,1,1,1,1,1,1,1,1,0,1,0,0,0.1270358306188925,3.6666666666666665,2374.6666666666665,593.6666666666666,0.8
11,139,1,2,4,0,11.542,3,1,3,387,39708,1892,1,2017,2017,0,3,1,1,426,1,0,0,0,0,0,0,0,0,0,0,1,0,0.20454545454545456,11.583333333333334,3309.0,283.62857142857143,0.5
20,151,0,4,1,0,8.386,6,1,6,103,22325,1048,1,2017,2017,0,4,1,1,93,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0982824427480916,7.190476190476191,1063.095238095238,146.875,0.8
0,2,0,2,0,0,6.552,2,1,2,7,1546,24,1,2017,2017,0,2,9,1,172,1,1,1,1,1,1,1,1,1,0,1,0,0,0.2916666666666667,2.0,1546.0,515.3333333333334,0.6666666666666666
