discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon
0,17,0,0,0,0,0.017,1,0,1,139,2626,148,1,1354600560.0,1354600560.0,0.0,0,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0
0,4,0,0,0,0,0.03,1,0,1,6,732,9,1,1354600620.0,1354600620.0,0.0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0
0,11,0,0,1,0,0.023,1,0,1,18,1015,21,1,1354600680.0,1354600680.0,0.0,0,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0
0,123,0,2,1,0,5.495,4,1,2,16,6063,413,1,1354624080.0,1454925000.0,100300920.0,2,1,1,117,0,0,0,0,0,0,1,0,0,0,1,0,0
0,168,0,1,0,0,7.065,7,1,5,18,6490,399,1,1354877400.0,1371193320.0,16315920.0,1,1,1,85,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,1,0,8.996,2,1,2,12,161,8,1,1504157760.0,1504185600.0,27840.0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,9.006,2,1,2,1,60,3,1,1504158000.0,1504185660.0,27660.0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,8.491,2,1,2,1,72,3,1,1504158240.0,1504185720.0,27480.0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,8.755,3,1,2,1,77,2,1,1504158480.0,1504185840.0,27360.0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,4.592,3,1,2,1,87,2,1,1504158660.0,1504185840.0,27180.0,0,9,1,37,1,1,1,1,1,1,1,1,1,0,1,0,0
2,4,0,0,1,2,5.558,1,1,6,5,2053,43,1,1504307880.0,1504307880.0,0.0,0,9,1,43,1,1,1,1,1,1,1,1,1,0,1,0,0
1,9,1,3,2,0,0.256,1,0,4,12,4481,172,1,1504885920.0,1504885920.0,0.0,4,9,0,170,1,1,1,1,1,1,1,1,1,0,0,0,0
0,13,0,4,0,0,6.946,1,1,3,15,3408,149,1,1504926420.0,1504926420.0,0.0,4,1,1,179,0,0,0,0,0,0,0,1,0,0,1,0,0
0,20,0,0,0,0,0.41200000000000003,1,0,1,17,2012,57,1,1355468460.0,1355468460.0,0.0,0,9,1,76,1,1,1,1,1,1,1,1,1,0,1,0,0
1,20,1,6,1,0,0.191,2,0,4,52,8258,375,1,1505554380.0,1506028680.0,474300.0,7,9,0,170,1,1,1,1,1,1,1,1,1,0,0,0,0
0,3,0,0,0,0,4.975,2,1,3,21,1006,40,1,1505648280.0,1512942600.0,7294320.0,0,9,1,65,1,1,1,1,1,1,1,1,1,0,1,0,0
2,2,0,0,0,0,4.942,2,1,3,7,946,29,1,1505649840.0,1512942360.0,7292520.0,0,9,1,65,1,1,1,1,1,1,1,1,1,0,1,0,0
0,19,1,2,1,0,0.055,10,0,1,52,7162,401,1,1505981400.0,1571019720.0,65038320.0,3,8,2,96,1,1,1,1,1,1,1,0,1,0,1,1,0
